Cenário,Política,Vazão total (Mbps),Satisfação global (%),Perda global (%),Atraso médio global (ms),Backlog máximo final (MB),Satisfação hotspot (%),Backlog hotspot final (MB),score_composto
Leve,Longest Queue First,26.308,99.968,0.0,23.004,0.0,100.0,0.0,3.0
Leve,Proportional Fair,26.308,99.968,0.0,23.004,0.0,100.0,0.0,3.0
Leve,Greedy Backlog,26.308,99.968,0.0,40.408,0.017,100.0,0.0,5.0
Leve,Equal,23.641,89.834,10.138,343.457,12.18,35.137,12.18,13.0
Leve,Round Robin,22.821,86.716,13.256,169.976,20.292,15.187,20.292,14.0
Médio,Longest Queue First,39.884,88.176,11.796,403.119,24.36,35.142,24.36,5.0
Médio,Proportional Fair,39.884,88.176,11.796,403.119,24.36,35.142,24.36,5.0
Médio,Greedy Backlog,39.884,88.176,11.796,923.382,24.36,35.142,24.36,7.0
Médio,Equal,37.474,82.847,17.127,90.268,73.86,5.833,73.86,10.0
Médio,Round Robin,37.336,82.544,17.431,78.338,81.972,4.162,81.972,11.0
Pesado Controlado,Longest Queue First,45.996,84.103,15.872,300.071,55.2,15.589,55.2,3.0
Pesado Controlado,Proportional Fair,45.996,84.103,15.872,300.071,55.2,15.589,55.2,3.0
Pesado Controlado,Greedy Backlog,45.988,84.09,15.884,955.805,55.2,15.589,55.2,10.0
Pesado Controlado,Round Robin,44.694,81.724,18.252,362.638,112.812,2.931,112.812,11.0
Pesado Controlado,Equal,38.3,70.032,29.947,2226.14,104.7,4.098,104.7,15.0
