beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,greedy_backlog,8.000000,8.224000,5.771939,120000,28073,88486,0.233942,0.766058,5265.770998,30.000000,6,6.000000
1,greedy_backlog,2.000000,2.056000,0.222126,29999,250,39719,0.008334,0.991666,54.327840,0.000000,6,6.000000
2,greedy_backlog,2.000000,2.056000,0.221333,29998,249,39720,0.008301,0.991699,54.460187,0.000000,6,6.000000
3,greedy_backlog,2.000000,2.056000,0.220540,29997,248,39722,0.008267,0.991733,54.593602,0.000000,6,6.000000
4,greedy_backlog,2.000000,2.056000,0.657866,29995,800,30534,0.026671,0.973329,5232.157269,0.250000,0,0.000000
5,greedy_backlog,2.000000,2.056000,0.656574,29994,798,30534,0.026605,0.973395,5236.716310,0.250000,0,0.000000
6,greedy_backlog,2.000000,2.056000,0.655280,29993,796,30537,0.026540,0.973460,5241.294961,0.250000,0,0.000000
7,greedy_backlog,2.000000,2.056000,0.654719,29992,795,30537,0.026507,0.973493,5247.860900,0.250000,0,0.000000
8,greedy_backlog,2.000000,2.056000,0.000996,29990,1,31497,0.000033,0.999967,8260.000000,0.000000,6,6.000000
9,greedy_backlog,2.000000,2.056000,0.000996,29989,1,40211,0.000033,0.999967,8260.000000,0.250000,0,0.000000
10,greedy_backlog,2.000000,2.056000,0.000996,29988,1,31504,0.000033,0.999967,8260.000000,0.000000,6,6.000000
11,greedy_backlog,2.000000,2.056000,0.000996,29987,1,31506,0.000033,0.999967,8260.000000,0.000000,6,6.000000
12,greedy_backlog,2.000000,2.056000,0.000996,29985,1,31511,0.000033,0.999967,8260.000000,0.000000,6,6.000000
13,greedy_backlog,2.000000,2.056000,0.466465,29984,508,30593,0.016942,0.983058,7594.139916,0.500000,0,0.000000
14,greedy_backlog,2.000000,2.056000,0.463076,29983,504,30602,0.016810,0.983190,7599.393249,0.500000,0,0.000000
15,greedy_backlog,2.000000,2.056000,0.459683,29982,500,30608,0.016677,0.983323,7604.646583,0.500000,0,0.000000
16,greedy_backlog,2.000000,2.056000,0.457136,29980,497,30611,0.016578,0.983422,7608.586584,0.500000,0,0.000000
17,greedy_backlog,2.000000,2.056000,0.000996,29979,1,40222,0.000033,0.999967,8260.000000,0.250000,0,0.000000
18,greedy_backlog,2.000000,2.056000,0.000996,29978,1,40223,0.000033,0.999967,8260.000000,0.250000,0,0.000000
