beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,longest_queue_first,8.000000,8.224000,2.901639,120000,5998,112535,0.049983,0.950017,5269.826066,75.000000,3,3.000000
1,longest_queue_first,2.000000,2.056000,1.995794,29999,29999,0,1.000000,0.000000,1824.000000,0.000000,2,2.000000
2,longest_queue_first,2.000000,2.056000,1.995794,29998,29998,0,1.000000,0.000000,1823.940000,0.000000,2,2.000000
3,longest_queue_first,2.000000,2.056000,1.995794,29997,29997,0,1.000000,0.000000,1823.880000,0.000000,2,2.000000
4,longest_queue_first,2.000000,2.056000,1.995794,29995,29995,0,1.000000,0.000000,1823.760000,0.000000,2,2.000000
5,longest_queue_first,2.000000,2.056000,1.995793,29994,29994,0,1.000000,0.000000,1823.700000,0.000000,2,2.000000
6,longest_queue_first,2.000000,2.056000,1.995793,29993,29993,0,1.000000,0.000000,1823.640000,0.000000,2,2.000000
7,longest_queue_first,2.000000,2.056000,1.995793,29992,29992,0,1.000000,0.000000,1823.580000,0.000000,2,2.000000
8,longest_queue_first,2.000000,2.056000,1.995793,29990,29990,0,1.000000,0.000000,1823.460000,0.000000,2,2.000000
9,longest_queue_first,2.000000,2.056000,2.055679,29989,29989,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
10,longest_queue_first,2.000000,2.056000,1.995793,29988,29988,0,1.000000,0.000000,1823.340000,0.000000,2,2.000000
11,longest_queue_first,2.000000,2.056000,2.055679,29987,29987,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
12,longest_queue_first,2.000000,2.056000,2.055679,29985,29985,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
13,longest_queue_first,2.000000,2.056000,2.055679,29984,29984,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
14,longest_queue_first,2.000000,2.056000,2.055679,29983,29983,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
15,longest_queue_first,2.000000,2.056000,2.055679,29982,29982,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
16,longest_queue_first,2.000000,2.056000,2.055679,29980,29980,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
17,longest_queue_first,2.000000,2.056000,2.055679,29979,29979,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
18,longest_queue_first,2.000000,2.056000,2.055679,29978,29978,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
