beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,proportional_fair,8.000000,8.224000,5.771939,120000,28073,88486,0.233942,0.766058,5265.770998,30.000000,6,6.000000
1,proportional_fair,2.000000,2.056000,2.055679,29999,29999,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
2,proportional_fair,2.000000,2.056000,2.055679,29998,29998,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
3,proportional_fair,2.000000,2.056000,2.055679,29997,29997,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
4,proportional_fair,2.000000,2.056000,2.055679,29995,29995,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
5,proportional_fair,2.000000,2.056000,2.055679,29994,29994,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
6,proportional_fair,2.000000,2.056000,2.055679,29993,29993,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
7,proportional_fair,2.000000,2.056000,1.995793,29992,29992,0,1.000000,0.000000,1823.580000,0.000000,2,2.000000
8,proportional_fair,2.000000,2.056000,1.995793,29990,29990,0,1.000000,0.000000,1823.460000,0.000000,2,2.000000
9,proportional_fair,2.000000,2.056000,1.995793,29989,29989,0,1.000000,0.000000,1823.400000,0.000000,2,2.000000
10,proportional_fair,2.000000,2.056000,1.995793,29988,29988,0,1.000000,0.000000,1823.340000,0.000000,2,2.000000
11,proportional_fair,2.000000,2.056000,1.995793,29987,29987,0,1.000000,0.000000,1823.280000,0.000000,2,2.000000
12,proportional_fair,2.000000,2.056000,1.995793,29985,29985,0,1.000000,0.000000,1823.160000,0.000000,2,2.000000
13,proportional_fair,2.000000,2.056000,1.995793,29984,29984,0,1.000000,0.000000,1823.100000,0.000000,2,2.000000
14,proportional_fair,2.000000,2.056000,1.995793,29983,29983,0,1.000000,0.000000,1823.040000,0.000000,2,2.000000
15,proportional_fair,2.000000,2.056000,1.995793,29982,29982,0,1.000000,0.000000,1822.980000,0.000000,2,2.000000
16,proportional_fair,2.000000,2.056000,1.995793,29980,29980,0,1.000000,0.000000,1822.860000,0.000000,2,2.000000
17,proportional_fair,2.000000,2.056000,1.995793,29979,29979,0,1.000000,0.000000,1822.800000,0.000000,2,2.000000
18,proportional_fair,2.000000,2.056000,1.995793,29978,29978,0,1.000000,0.000000,1822.740000,0.000000,2,2.000000
