beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,round_robin,8.000000,8.224000,2.388966,120000,4357,114267,0.036308,0.963692,6076.220158,82.375000,2,2.000000
1,round_robin,2.000000,2.056000,2.053091,29999,29999,0,1.000000,0.000000,89.304756,0.000000,2,2.000000
2,round_robin,2.000000,2.056000,2.053604,29998,29998,0,1.000000,0.000000,88.113220,0.000000,2,2.000000
3,round_robin,2.000000,2.056000,2.054117,29997,29997,0,1.000000,0.000000,87.229366,0.000000,2,2.000000
4,round_robin,2.000000,2.056000,2.054630,29995,29995,0,1.000000,0.000000,86.655355,0.000000,2,2.000000
5,round_robin,2.000000,2.056000,2.055679,29994,29994,0,1.000000,0.000000,86.135493,0.000000,3,3.000000
6,round_robin,2.000000,2.056000,2.055679,29993,29993,0,1.000000,0.000000,86.079862,0.000000,3,3.000000
7,round_robin,2.000000,2.056000,2.055679,29992,29992,0,1.000000,0.000000,86.081974,0.000000,3,3.000000
8,round_robin,2.000000,2.056000,2.055679,29990,29990,0,1.000000,0.000000,86.143947,0.000000,3,3.000000
9,round_robin,2.000000,2.056000,2.055679,29989,29989,0,1.000000,0.000000,86.146061,0.000000,3,3.000000
10,round_robin,2.000000,2.056000,2.055679,29988,29988,0,1.000000,0.000000,86.090422,0.000000,3,3.000000
11,round_robin,2.000000,2.056000,2.055679,29987,29987,0,1.000000,0.000000,86.219048,0.000000,3,3.000000
12,round_robin,2.000000,2.056000,2.055679,29985,29985,0,1.000000,0.000000,86.662498,0.000000,3,3.000000
13,round_robin,2.000000,2.056000,2.055679,29984,29984,0,1.000000,0.000000,87.303974,0.000000,3,3.000000
14,round_robin,2.000000,2.056000,2.055679,29983,29983,0,1.000000,0.000000,88.140327,0.000000,3,3.000000
15,round_robin,2.000000,2.056000,2.050529,29982,29982,0,1.000000,0.000000,91.352119,0.000000,2,2.000000
16,round_robin,2.000000,2.056000,2.051040,29980,29980,0,1.000000,0.000000,90.419885,0.000000,2,2.000000
17,round_robin,2.000000,2.056000,2.051552,29979,29979,0,1.000000,0.000000,89.949484,0.000000,2,2.000000
18,round_robin,2.000000,2.056000,2.052064,29978,29978,0,1.000000,0.000000,89.929496,0.000000,2,2.000000
