beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,equal,8.000000,8.224000,3.198088,120000,6999,111349,0.058325,0.941675,5268.950123,70.500000,3,3.300000
1,equal,2.000000,2.056000,2.055683,29999,29999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
2,equal,2.000000,2.056000,2.055683,29998,29998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
3,equal,2.000000,2.056000,2.055683,29997,29997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
4,equal,2.000000,2.056000,2.055683,29995,29995,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
5,equal,2.000000,2.056000,2.055683,29994,29994,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
6,equal,2.000000,2.056000,2.055683,29993,29993,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
7,equal,2.000000,2.056000,2.055683,29992,29992,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
8,equal,2.000000,2.056000,2.055683,29990,29990,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
9,equal,2.000000,2.056000,2.055683,29989,29989,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
10,equal,2.000000,2.056000,2.055662,29988,29988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
11,equal,2.000000,2.056000,2.055662,29987,29987,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
12,equal,2.000000,2.056000,2.055662,29985,29985,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
13,equal,2.000000,2.056000,2.055662,29984,29984,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
14,equal,2.000000,2.056000,2.055662,29983,29983,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
15,equal,2.000000,2.056000,2.055662,29982,29982,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
16,equal,2.000000,2.056000,2.055662,29980,29980,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
17,equal,2.000000,2.056000,2.055662,29979,29979,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
18,equal,2.000000,2.056000,2.055662,29978,29978,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
