beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,longest_queue_first,8.000000,8.224000,3.198088,120000,6999,111349,0.058325,0.941675,5268.950123,70.500000,3,3.300000
1,longest_queue_first,2.000000,2.056000,2.055662,29999,29999,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
2,longest_queue_first,2.000000,2.056000,2.055662,29998,29998,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
3,longest_queue_first,2.000000,2.056000,2.055662,29997,29997,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
4,longest_queue_first,2.000000,2.056000,2.055662,29995,29995,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
5,longest_queue_first,2.000000,2.056000,2.055662,29994,29994,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
6,longest_queue_first,2.000000,2.056000,2.055662,29993,29993,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
7,longest_queue_first,2.000000,2.056000,2.055662,29992,29992,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
8,longest_queue_first,2.000000,2.056000,2.055662,29990,29990,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
9,longest_queue_first,2.000000,2.056000,2.055683,29989,29989,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
10,longest_queue_first,2.000000,2.056000,2.055662,29988,29988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
11,longest_queue_first,2.000000,2.056000,2.055683,29987,29987,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
12,longest_queue_first,2.000000,2.056000,2.055683,29985,29985,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
13,longest_queue_first,2.000000,2.056000,2.055683,29984,29984,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
14,longest_queue_first,2.000000,2.056000,2.055683,29983,29983,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
15,longest_queue_first,2.000000,2.056000,2.055683,29982,29982,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
16,longest_queue_first,2.000000,2.056000,2.055683,29980,29980,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
17,longest_queue_first,2.000000,2.056000,2.055683,29979,29979,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
18,longest_queue_first,2.000000,2.056000,2.055683,29978,29978,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
