beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,proportional_fair,8.000000,8.224000,6.305768,120000,42171,73859,0.351425,0.648575,5264.469832,21.000000,6,6.600000
1,proportional_fair,2.000000,2.056000,2.055683,29999,29999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
2,proportional_fair,2.000000,2.056000,2.055683,29998,29998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
3,proportional_fair,2.000000,2.056000,2.055683,29997,29997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
4,proportional_fair,2.000000,2.056000,2.055683,29995,29995,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
5,proportional_fair,2.000000,2.056000,2.055683,29994,29994,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
6,proportional_fair,2.000000,2.056000,2.055683,29993,29993,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
7,proportional_fair,2.000000,2.056000,2.055662,29992,29992,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
8,proportional_fair,2.000000,2.056000,2.055662,29990,29990,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
9,proportional_fair,2.000000,2.056000,2.055662,29989,29989,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
10,proportional_fair,2.000000,2.056000,2.055662,29988,29988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
11,proportional_fair,2.000000,2.056000,2.055662,29987,29987,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
12,proportional_fair,2.000000,2.056000,2.055662,29985,29985,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
13,proportional_fair,2.000000,2.056000,2.055662,29984,29984,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
14,proportional_fair,2.000000,2.056000,2.055662,29983,29983,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
15,proportional_fair,2.000000,2.056000,2.055662,29982,29982,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
16,proportional_fair,2.000000,2.056000,2.055662,29980,29980,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
17,proportional_fair,2.000000,2.056000,2.055662,29979,29979,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
18,proportional_fair,2.000000,2.056000,2.055662,29978,29978,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
