beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,round_robin,8.000000,8.224000,2.567019,120000,4994,113772,0.041617,0.958383,6050.346450,78.612500,2,2.200000
1,round_robin,2.000000,2.056000,2.055662,29999,29999,0,1.000000,0.000000,23.110829,0.000000,2,2.200000
2,round_robin,2.000000,2.056000,2.055662,29998,29998,0,1.000000,0.000000,23.100445,0.000000,2,2.200000
3,round_robin,2.000000,2.056000,2.055662,29997,29997,0,1.000000,0.000000,23.090060,0.000000,2,2.200000
4,round_robin,2.000000,2.056000,2.055662,29995,29995,0,1.000000,0.000000,23.079693,0.000000,2,2.200000
5,round_robin,2.000000,2.056000,2.055683,29994,29994,0,1.000000,0.000000,23.058901,0.000000,3,3.300000
6,round_robin,2.000000,2.056000,2.055683,29993,29993,0,1.000000,0.000000,23.058919,0.000000,3,3.300000
7,round_robin,2.000000,2.056000,2.055683,29992,29992,0,1.000000,0.000000,23.058938,0.000000,3,3.300000
8,round_robin,2.000000,2.056000,2.055683,29990,29990,0,1.000000,0.000000,23.058976,0.000000,3,3.300000
9,round_robin,2.000000,2.056000,2.055683,29989,29989,0,1.000000,0.000000,23.058994,0.000000,3,3.300000
10,round_robin,2.000000,2.056000,2.055683,29988,29988,0,1.000000,0.000000,23.059013,0.000000,3,3.300000
11,round_robin,2.000000,2.056000,2.055683,29987,29987,0,1.000000,0.000000,23.068899,0.000000,3,3.300000
12,round_robin,2.000000,2.056000,2.055683,29985,29985,0,1.000000,0.000000,23.079263,0.000000,3,3.300000
13,round_robin,2.000000,2.056000,2.055683,29984,29984,0,1.000000,0.000000,23.089651,0.000000,3,3.300000
14,round_robin,2.000000,2.056000,2.055683,29983,29983,0,1.000000,0.000000,23.100039,0.000000,3,3.300000
15,round_robin,2.000000,2.056000,2.055662,29982,29982,0,1.000000,0.000000,23.120838,0.000000,2,2.200000
16,round_robin,2.000000,2.056000,2.055662,29980,29980,0,1.000000,0.000000,23.120796,0.000000,2,2.200000
17,round_robin,2.000000,2.056000,2.055662,29979,29979,0,1.000000,0.000000,23.120775,0.000000,2,2.200000
18,round_robin,2.000000,2.056000,2.055662,29978,29978,0,1.000000,0.000000,23.120754,0.000000,2,2.200000
