time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization
0.000000,0,longest_queue_first,8.000000,8.224000,0.587500,3,3.300000,0.412500,1.000000
0.000000,1,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,2,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,3,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,4,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,5,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,6,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,7,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,8,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,9,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,10,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
0.000000,11,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,12,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,13,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,14,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,15,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,16,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,17,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
0.000000,18,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,0,longest_queue_first,8.000000,8.224000,1.175000,3,3.300000,0.412500,1.000000
1.000000,1,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,2,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,3,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,4,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,5,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,6,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,7,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,8,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,9,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,10,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
1.000000,11,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,12,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,13,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,14,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,15,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,16,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,17,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
1.000000,18,longest_queue_first,2.000000,2.056000,0.000000,3,3.300000,0.250000,0.606061
2.000000,0,longest_queue_first,8.000000,8.224000,1.762500,3,3.300000,0.412500,1.000000
2.000000,1,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,2,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,3,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,4,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,5,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,6,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,7,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
2.000000,8,longest_queue_first,2.000000,2.056000,0.000000,2,2.200000,0.250000,0.909091
