beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,proportional_fair,8.000000,8.224000,2.890119,6.305768,54.999534,120000,42171,73859,0.351425,0.648575,5264.469832,24.360000,6,6.600000
1,proportional_fair,2.000000,2.056000,2.055931,2.055683,120.014497,29999,29999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
2,proportional_fair,2.000000,2.056000,2.055863,2.055683,120.010497,29998,29998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
3,proportional_fair,2.000000,2.056000,2.055794,2.055683,120.006497,29997,29997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
4,proportional_fair,2.000000,2.056000,2.055657,2.055683,119.998497,29995,29995,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
5,proportional_fair,2.000000,2.056000,2.055589,2.055683,119.994497,29994,29994,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
6,proportional_fair,2.000000,2.056000,2.055520,2.055683,119.990497,29993,29993,0,1.000000,0.000000,22.496970,0.000000,3,3.300000
7,proportional_fair,2.000000,2.056000,2.055452,2.055662,119.987745,29992,29992,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
8,proportional_fair,2.000000,2.056000,2.055315,2.055662,119.979745,29990,29990,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
9,proportional_fair,2.000000,2.056000,2.055246,2.055662,119.975745,29989,29989,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
10,proportional_fair,2.000000,2.056000,2.055178,2.055662,119.971745,29988,29988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
11,proportional_fair,2.000000,2.056000,2.055109,2.055662,119.967745,29987,29987,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
12,proportional_fair,2.000000,2.056000,2.054972,2.055662,119.959745,29985,29985,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
13,proportional_fair,2.000000,2.056000,2.054903,2.055662,119.955745,29984,29984,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
14,proportional_fair,2.000000,2.056000,2.054835,2.055662,119.951745,29983,29983,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
15,proportional_fair,2.000000,2.056000,2.054766,2.055662,119.947745,29982,29982,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
16,proportional_fair,2.000000,2.056000,2.054629,2.055662,119.939745,29980,29980,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
17,proportional_fair,2.000000,2.056000,2.054561,2.055662,119.935745,29979,29979,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
18,proportional_fair,2.000000,2.056000,2.054492,2.055662,119.931745,29978,29978,0,1.000000,0.000000,23.745455,0.000000,2,2.200000
