beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,equal,8.000000,8.224000,0.479665,3.198088,17.998184,0.058325,120000,6999,111349,0.058325,0.941675,5268.950123,73.860000,3,3.300000,3.300000
1,equal,2.000000,2.056000,2.055931,2.055683,120.014497,0.999967,29999,29999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
2,equal,2.000000,2.056000,2.055863,2.055683,120.010497,0.999933,29998,29998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
3,equal,2.000000,2.056000,2.055794,2.055683,120.006497,0.999900,29997,29997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
4,equal,2.000000,2.056000,2.055657,2.055683,119.998497,0.999833,29995,29995,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
5,equal,2.000000,2.056000,2.055589,2.055683,119.994497,0.999800,29994,29994,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
6,equal,2.000000,2.056000,2.055520,2.055683,119.990497,0.999767,29993,29993,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
7,equal,2.000000,2.056000,2.055452,2.055683,119.986497,0.999733,29992,29992,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
8,equal,2.000000,2.056000,2.055315,2.055683,119.978497,0.999667,29990,29990,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
9,equal,2.000000,2.056000,2.055246,2.055683,119.974497,0.999633,29989,29989,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.056000
10,equal,2.000000,2.056000,2.055178,2.055662,119.971745,0.999600,29988,29988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
11,equal,2.000000,2.056000,2.055109,2.055662,119.967745,0.999567,29987,29987,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
12,equal,2.000000,2.056000,2.054972,2.055662,119.959745,0.999500,29985,29985,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
13,equal,2.000000,2.056000,2.054903,2.055662,119.955745,0.999467,29984,29984,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
14,equal,2.000000,2.056000,2.054835,2.055662,119.951745,0.999433,29983,29983,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
15,equal,2.000000,2.056000,2.054766,2.055662,119.947745,0.999400,29982,29982,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
16,equal,2.000000,2.056000,2.054629,2.055662,119.939745,0.999333,29980,29980,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
17,equal,2.000000,2.056000,2.054561,2.055662,119.935745,0.999300,29979,29979,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
18,equal,2.000000,2.056000,2.054492,2.055662,119.931745,0.999267,29978,29978,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,2.056000
