beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,round_robin,8.000000,8.224000,0.342255,2.567019,15.999360,0.041617,120000,4994,113772,0.041617,0.958383,6050.346450,81.972500,2,2.200000,2.526450
1,round_robin,2.000000,2.056000,2.055931,2.055662,120.015745,0.999967,29999,29999,0,1.000000,0.000000,23.110829,0.000000,2,2.200000,2.056000
2,round_robin,2.000000,2.056000,2.055863,2.055662,120.011745,0.999933,29998,29998,0,1.000000,0.000000,23.100445,0.000000,2,2.200000,2.056000
3,round_robin,2.000000,2.056000,2.055794,2.055662,120.007745,0.999900,29997,29997,0,1.000000,0.000000,23.090060,0.000000,2,2.200000,2.056000
4,round_robin,2.000000,2.056000,2.055657,2.055662,119.999745,0.999833,29995,29995,0,1.000000,0.000000,23.079693,0.000000,2,2.200000,2.056000
5,round_robin,2.000000,2.056000,2.055589,2.055683,119.994497,0.999800,29994,29994,0,1.000000,0.000000,23.058901,0.000000,3,3.300000,2.056000
6,round_robin,2.000000,2.056000,2.055520,2.055683,119.990497,0.999767,29993,29993,0,1.000000,0.000000,23.058919,0.000000,3,3.300000,2.056000
7,round_robin,2.000000,2.056000,2.055452,2.055683,119.986497,0.999733,29992,29992,0,1.000000,0.000000,23.058938,0.000000,3,3.300000,2.056000
8,round_robin,2.000000,2.056000,2.055315,2.055683,119.978497,0.999667,29990,29990,0,1.000000,0.000000,23.058976,0.000000,3,3.300000,2.056000
9,round_robin,2.000000,2.056000,2.055246,2.055683,119.974497,0.999633,29989,29989,0,1.000000,0.000000,23.058994,0.000000,3,3.300000,2.056000
10,round_robin,2.000000,2.056000,2.055178,2.055683,119.970497,0.999600,29988,29988,0,1.000000,0.000000,23.059013,0.000000,3,3.300000,2.056000
11,round_robin,2.000000,2.056000,2.055109,2.055683,119.966497,0.999567,29987,29987,0,1.000000,0.000000,23.068899,0.000000,3,3.300000,2.056000
12,round_robin,2.000000,2.056000,2.054972,2.055683,119.958497,0.999500,29985,29985,0,1.000000,0.000000,23.079263,0.000000,3,3.300000,2.056000
13,round_robin,2.000000,2.056000,2.054903,2.055683,119.954497,0.999467,29984,29984,0,1.000000,0.000000,23.089651,0.000000,3,3.300000,2.056000
14,round_robin,2.000000,2.056000,2.054835,2.055683,119.950497,0.999433,29983,29983,0,1.000000,0.000000,23.100039,0.000000,3,3.300000,2.056000
15,round_robin,2.000000,2.056000,2.054766,2.055662,119.947745,0.999400,29982,29982,0,1.000000,0.000000,23.120838,0.000000,2,2.200000,2.056000
16,round_robin,2.000000,2.056000,2.054629,2.055662,119.939745,0.999333,29980,29980,0,1.000000,0.000000,23.120796,0.000000,2,2.200000,2.056000
17,round_robin,2.000000,2.056000,2.054561,2.055662,119.935745,0.999300,29979,29979,0,1.000000,0.000000,23.120775,0.000000,2,2.200000,2.056000
18,round_robin,2.000000,2.056000,2.054492,2.055662,119.931745,0.999267,29978,29978,0,1.000000,0.000000,23.120754,0.000000,2,2.200000,2.056000
