beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,equal,10.000000,10.280000,0.421274,3.159931,15.998111,0.040980,150000,6147,142093,0.040980,0.959020,5247.581891,104.700000,3,3.300000,3.300000
1,equal,2.400000,2.467200,2.467131,2.466806,120.015818,0.999972,35999,35999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
2,equal,2.400000,2.467200,2.467063,2.466806,120.012485,0.999944,35998,35998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
3,equal,2.400000,2.467200,2.466926,2.466806,120.005818,0.999889,35996,35996,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
4,equal,2.400000,2.467200,2.466857,2.466806,120.002485,0.999861,35995,35995,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
5,equal,2.400000,2.467200,2.466720,2.466806,119.995818,0.999806,35993,35993,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
6,equal,2.400000,2.467200,2.466652,2.466806,119.992485,0.999778,35992,35992,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
7,equal,2.400000,2.467200,2.466515,2.466806,119.985818,0.999722,35990,35990,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
8,equal,2.400000,2.467200,2.466446,2.466806,119.982485,0.999694,35989,35989,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
9,equal,2.400000,2.467200,2.466309,2.466806,119.975818,0.999639,35987,35987,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,2.467200
10,equal,2.400000,2.467200,1.741912,2.112503,98.948703,0.706028,35986,25417,9069,0.706302,0.293698,5264.976590,4.008000,2,2.200000,2.200000
11,equal,2.400000,2.467200,1.742391,2.113165,98.944957,0.706222,35984,25424,9060,0.706536,0.293464,5266.406833,4.008000,2,2.200000,2.200000
12,equal,2.400000,2.467200,1.741706,2.112493,98.937467,0.705944,35983,25414,9069,0.706278,0.293722,5264.358878,4.008000,2,2.200000,2.200000
13,equal,2.400000,2.467200,1.742186,2.113155,98.933721,0.706139,35981,25421,9060,0.706512,0.293488,5265.789118,4.008000,2,2.200000,2.200000
14,equal,2.400000,2.467200,1.742117,2.113152,98.929976,0.706111,35980,25420,9060,0.706504,0.293496,5265.583214,4.008000,2,2.200000,2.200000
15,equal,2.400000,2.467200,1.741980,2.113146,98.922485,0.706056,35978,25418,9060,0.706487,0.293513,5265.171404,4.008000,2,2.200000,2.200000
16,equal,2.400000,2.467200,1.741912,2.113143,98.918739,0.706028,35977,25417,9060,0.706479,0.293521,5264.965500,4.008000,2,2.200000,2.200000
17,equal,2.400000,2.467200,1.742391,2.113805,98.914994,0.706222,35975,25424,9051,0.706713,0.293287,5266.394578,4.008000,2,2.200000,2.200000
18,equal,2.400000,2.467200,1.741706,2.113133,98.907503,0.705944,35974,25414,9060,0.706455,0.293545,5264.347786,4.008000,2,2.200000,2.200000
