beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,greedy_backlog,10.000000,10.280000,1.602583,6.410362,29.999870,0.155893,150000,23384,122507,0.155893,0.844107,5269.098819,55.200000,6,6.600000,6.600000
1,greedy_backlog,2.400000,2.467200,2.467131,2.392206,123.758473,0.999972,35999,35999,0,1.000000,0.000000,550.645441,0.341800,1,1.100000,2.175830
2,greedy_backlog,2.400000,2.467200,2.467063,2.392204,123.755140,0.999944,35998,35998,0,1.000000,0.000000,593.181313,0.341800,1,1.100000,2.175830
3,greedy_backlog,2.400000,2.467200,2.466926,2.416557,122.501200,0.999889,35996,35996,0,1.000000,0.000000,541.212428,0.170900,1,1.100000,2.444787
4,greedy_backlog,2.400000,2.467200,2.466857,2.416555,122.497867,0.999861,35995,35995,0,1.000000,0.000000,581.263359,0.170900,1,1.100000,2.444787
5,greedy_backlog,2.400000,2.467200,2.466720,2.466832,119.994570,0.999806,35993,35993,0,1.000000,0.000000,535.683005,0.000000,6,6.600000,2.780984
6,greedy_backlog,2.400000,2.467200,2.466652,2.466827,119.991486,0.999778,35992,35992,0,1.000000,0.000000,574.863849,0.000000,5,5.500000,2.780984
7,greedy_backlog,2.400000,2.467200,2.466515,2.466832,119.984570,0.999722,35990,35990,0,1.000000,0.000000,872.997529,0.000000,6,6.600000,2.952575
8,greedy_backlog,2.400000,2.467200,2.464047,2.366332,124.955275,0.998722,35989,35954,0,0.999027,0.000973,953.883296,0.512700,1,1.100000,2.048518
9,greedy_backlog,2.400000,2.467200,2.464047,2.366438,124.949710,0.998722,35987,35954,0,0.999083,0.000917,946.784705,0.512700,1,1.100000,2.048518
10,greedy_backlog,2.400000,2.467200,2.463910,2.366393,124.945129,0.998667,35986,35952,0,0.999055,0.000945,950.524382,0.512700,1,1.100000,2.048518
11,greedy_backlog,2.400000,2.467200,2.466103,2.387420,123.954911,0.999556,35984,35984,0,1.000000,0.000000,935.102621,0.341800,1,1.100000,2.285648
12,greedy_backlog,2.400000,2.467200,2.466035,2.387445,123.950184,0.999528,35983,35983,0,1.000000,0.000000,921.328584,0.341800,1,1.100000,2.285648
13,greedy_backlog,2.400000,2.467200,2.465898,2.387561,123.937275,0.999472,35981,35981,0,1.000000,0.000000,919.790557,0.341800,1,1.100000,2.285648
14,greedy_backlog,2.400000,2.467200,2.465829,2.411436,122.706790,0.999444,35980,35980,0,1.000000,0.000000,912.632490,0.170900,1,1.100000,2.582060
15,greedy_backlog,2.400000,2.467200,2.465692,2.411678,122.687639,0.999389,35978,35978,0,1.000000,0.000000,909.844292,0.170900,1,1.100000,2.582060
16,greedy_backlog,2.400000,2.467200,2.465624,2.411431,122.696790,0.999361,35977,35977,0,1.000000,0.000000,912.861006,0.170900,1,1.100000,2.582060
17,greedy_backlog,2.400000,2.467200,2.465487,2.466832,119.934570,0.999306,35975,35975,0,1.000000,0.000000,893.552019,0.000000,6,6.600000,2.952575
18,greedy_backlog,2.400000,2.467200,2.465418,2.466832,119.931236,0.999278,35974,35974,0,1.000000,0.000000,896.062285,0.000000,6,6.600000,2.952575
