time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,proportional_fair,10.000000,10.280000,0.460000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,2,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,3,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,4,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,5,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,6,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,7,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,8,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,9,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,10,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,proportional_fair,10.000000,10.280000,0.920000,6,6.600000,0.825000,1.000000,6.600000
1.000000,1,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,2,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,3,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,4,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,5,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,6,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
1.000000,7,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,8,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,9,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,10,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,11,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,12,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,13,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,14,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,15,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,16,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,17,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,18,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
2.000000,0,proportional_fair,10.000000,10.280000,1.380000,6,6.600000,0.825000,1.000000,6.600000
2.000000,1,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,2,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,3,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,4,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,5,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,6,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.371008
2.000000,7,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,8,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,9,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,10,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,11,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,12,proportional_fair,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.285504
2.000000,13,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,14,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,15,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,16,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,17,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,18,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
3.000000,0,proportional_fair,10.000000,10.280000,1.840000,6,6.600000,0.825000,1.000000,6.600000
3.000000,1,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,2,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,3,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,4,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,5,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,6,proportional_fair,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.497126
3.000000,7,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.268403
3.000000,8,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.268403
3.000000,9,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.268403
3.000000,10,proportional_fair,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.268403
