beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,greedy_backlog,4.000000,4.112000,4.112000,4.111341,120.019248,1.000000,60000,60000,0,1.000000,0.000000,21.248485,0.000000,6,6.600000,4.112000
1,greedy_backlog,1.200000,1.233600,1.233600,1.233437,120.015836,1.000000,18000,18000,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
2,greedy_backlog,1.200000,1.233600,1.233531,1.233437,120.009170,0.999944,17999,17999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
3,greedy_backlog,1.200000,1.233600,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
4,greedy_backlog,1.200000,1.233600,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
5,greedy_backlog,1.200000,1.233600,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
6,greedy_backlog,1.200000,1.233600,1.233326,1.233437,119.989170,0.999778,17996,17996,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
7,greedy_backlog,1.200000,1.233600,1.233257,1.230858,120.233945,0.999722,17995,17995,0,1.000000,0.000000,55.851345,0.016700,1,1.100000,1.218756
8,greedy_backlog,1.200000,1.233600,1.233189,1.230858,120.227279,0.999667,17994,17994,0,1.000000,0.000000,55.853199,0.016700,1,1.100000,1.218756
9,greedy_backlog,1.200000,1.233600,1.233189,1.230858,120.227279,0.999667,17994,17994,0,1.000000,0.000000,55.404686,0.016700,1,1.100000,1.218756
10,greedy_backlog,1.200000,1.233600,1.233120,1.230857,120.220612,0.999611,17993,17993,0,1.000000,0.000000,55.840434,0.016700,1,1.100000,1.218756
11,greedy_backlog,1.200000,1.233600,1.233052,1.230857,120.213945,0.999556,17992,17992,0,1.000000,0.000000,55.842287,0.016700,1,1.100000,1.218756
12,greedy_backlog,1.200000,1.233600,1.232983,1.230857,120.207279,0.999500,17991,17991,0,1.000000,0.000000,55.836921,0.016700,1,1.100000,1.218756
13,greedy_backlog,1.200000,1.233600,1.232983,1.233437,119.955836,0.999500,17991,17991,0,1.000000,0.000000,53.309326,0.000000,3,3.300000,1.248444
14,greedy_backlog,1.200000,1.233600,1.232915,1.233437,119.949170,0.999444,17990,17990,0,1.000000,0.000000,53.759926,0.000000,3,3.300000,1.248444
15,greedy_backlog,1.200000,1.233600,1.232846,1.233437,119.942503,0.999389,17989,17989,0,1.000000,0.000000,53.761664,0.000000,3,3.300000,1.248444
16,greedy_backlog,1.200000,1.233600,1.232778,1.233437,119.935836,0.999333,17988,17988,0,1.000000,0.000000,53.763402,0.000000,3,3.300000,1.248444
17,greedy_backlog,1.200000,1.233600,1.232778,1.233437,119.935836,0.999333,17988,17988,0,1.000000,0.000000,53.314465,0.000000,3,3.300000,1.248444
18,greedy_backlog,1.200000,1.233600,1.232709,1.233437,119.929170,0.999278,17987,17987,0,1.000000,0.000000,53.765140,0.000000,3,3.300000,1.248444
