beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,proportional_fair,4.000000,4.112000,4.112000,4.111341,120.019248,1.000000,60000,60000,0,1.000000,0.000000,21.248485,0.000000,6,6.600000,4.112000
1,proportional_fair,1.200000,1.233600,1.233600,1.233437,120.015836,1.000000,18000,18000,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
2,proportional_fair,1.200000,1.233600,1.233531,1.233437,120.009170,0.999944,17999,17999,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
3,proportional_fair,1.200000,1.233600,1.233463,1.233437,120.002503,0.999889,17998,17998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
4,proportional_fair,1.200000,1.233600,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
5,proportional_fair,1.200000,1.233600,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
6,proportional_fair,1.200000,1.233600,1.233326,1.233437,119.989170,0.999778,17996,17996,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,1.233600
7,proportional_fair,1.200000,1.233600,1.233257,1.233424,119.983751,0.999722,17995,17995,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
8,proportional_fair,1.200000,1.233600,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
9,proportional_fair,1.200000,1.233600,1.233189,1.233424,119.977085,0.999667,17994,17994,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
10,proportional_fair,1.200000,1.233600,1.233120,1.233424,119.970418,0.999611,17993,17993,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
11,proportional_fair,1.200000,1.233600,1.233052,1.233424,119.963751,0.999556,17992,17992,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
12,proportional_fair,1.200000,1.233600,1.232983,1.233424,119.957085,0.999500,17991,17991,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
13,proportional_fair,1.200000,1.233600,1.232983,1.233424,119.957085,0.999500,17991,17991,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
14,proportional_fair,1.200000,1.233600,1.232915,1.233424,119.950418,0.999444,17990,17990,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
15,proportional_fair,1.200000,1.233600,1.232846,1.233424,119.943751,0.999389,17989,17989,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
16,proportional_fair,1.200000,1.233600,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
17,proportional_fair,1.200000,1.233600,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
18,proportional_fair,1.200000,1.233600,1.232709,1.233424,119.930418,0.999278,17987,17987,0,1.000000,0.000000,23.745455,0.000000,2,2.200000,1.233600
