beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,round_robin,4.000000,4.112000,0.624476,2.417333,30.999907,0.151867,60000,9112,49587,0.151867,0.848133,5391.041741,20.292500,2,2.200000,2.526450
1,round_robin,1.200000,1.233600,1.233600,1.233424,120.017085,1.000000,18000,18000,0,1.000000,0.000000,23.110808,0.000000,2,2.200000,1.233600
2,round_robin,1.200000,1.233600,1.233531,1.233424,120.010418,0.999944,17999,17999,0,1.000000,0.000000,23.100438,0.000000,2,2.200000,1.233600
3,round_robin,1.200000,1.233600,1.233463,1.233424,120.003751,0.999889,17998,17998,0,1.000000,0.000000,23.090066,0.000000,2,2.200000,1.233600
4,round_robin,1.200000,1.233600,1.233394,1.233424,119.997085,0.999833,17997,17997,0,1.000000,0.000000,23.079693,0.000000,2,2.200000,1.233600
5,round_robin,1.200000,1.233600,1.233394,1.233437,119.995836,0.999833,17997,17997,0,1.000000,0.000000,23.058882,0.000000,3,3.300000,1.233600
6,round_robin,1.200000,1.233600,1.233326,1.233437,119.989170,0.999778,17996,17996,0,1.000000,0.000000,23.058913,0.000000,3,3.300000,1.233600
7,round_robin,1.200000,1.233600,1.233257,1.233437,119.982503,0.999722,17995,17995,0,1.000000,0.000000,23.058944,0.000000,3,3.300000,1.233600
8,round_robin,1.200000,1.233600,1.233189,1.233437,119.975836,0.999667,17994,17994,0,1.000000,0.000000,23.058976,0.000000,3,3.300000,1.233600
9,round_robin,1.200000,1.233600,1.233189,1.233437,119.975836,0.999667,17994,17994,0,1.000000,0.000000,23.058976,0.000000,3,3.300000,1.233600
10,round_robin,1.200000,1.233600,1.233120,1.233437,119.969170,0.999611,17993,17993,0,1.000000,0.000000,23.059007,0.000000,3,3.300000,1.233600
11,round_robin,1.200000,1.233600,1.233052,1.233437,119.962503,0.999556,17992,17992,0,1.000000,0.000000,23.068892,0.000000,3,3.300000,1.233600
12,round_robin,1.200000,1.233600,1.232983,1.233437,119.955836,0.999500,17991,17991,0,1.000000,0.000000,23.079263,0.000000,3,3.300000,1.233600
13,round_robin,1.200000,1.233600,1.232983,1.233437,119.955836,0.999500,17991,17991,0,1.000000,0.000000,23.089672,0.000000,3,3.300000,1.233600
14,round_robin,1.200000,1.233600,1.232915,1.233437,119.949170,0.999444,17990,17990,0,1.000000,0.000000,23.100046,0.000000,3,3.300000,1.233600
15,round_robin,1.200000,1.233600,1.232846,1.233424,119.943751,0.999389,17989,17989,0,1.000000,0.000000,23.120831,0.000000,2,2.200000,1.233600
16,round_robin,1.200000,1.233600,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.000000,0.000000,23.120796,0.000000,2,2.200000,1.233600
17,round_robin,1.200000,1.233600,1.232778,1.233424,119.937085,0.999333,17988,17988,0,1.000000,0.000000,23.120796,0.000000,2,2.200000,1.233600
18,round_robin,1.200000,1.233600,1.232709,1.233424,119.930418,0.999278,17987,17987,0,1.000000,0.000000,23.120761,0.000000,2,2.200000,1.233600
