time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,equal,4.000000,4.112000,0.101500,3,3.300000,0.412500,1.000000,3.300000
0.000000,1,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,2,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,3,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,4,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,5,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,6,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,7,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,8,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,9,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,10,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,11,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,12,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,13,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,14,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,15,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,16,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,17,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
0.000000,18,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
1.000000,0,equal,4.000000,4.112000,0.203000,3,3.300000,0.412500,1.000000,3.300000
1.000000,1,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,2,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,3,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,4,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,5,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,6,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,7,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,8,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,9,equal,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,10,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
1.000000,11,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
1.000000,12,equal,1.200000,1.233600,0.000000,2,2.200000,0.154200,0.560727,1.233600
