time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,greedy_backlog,4.000000,4.112000,0.000000,6,6.600000,0.514000,0.623030,4.112000
0.000000,1,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,2,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,3,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,4,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,5,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,6,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,7,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,8,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,9,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,10,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,11,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,12,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
0.000000,13,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
0.000000,14,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
0.000000,15,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
0.000000,16,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
0.000000,17,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
0.000000,18,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.100000
1.000000,0,greedy_backlog,4.000000,4.112000,0.000000,6,6.600000,0.514000,0.623030,4.112000
1.000000,1,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,2,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,3,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,4,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,5,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,6,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
1.000000,7,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,8,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,9,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,10,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,11,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,12,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.206880
1.000000,13,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
1.000000,14,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
1.000000,15,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
1.000000,16,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
1.000000,17,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
1.000000,18,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.153440
2.000000,0,greedy_backlog,4.000000,4.112000,0.000000,6,6.600000,0.514000,0.623030,4.112000
2.000000,1,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,2,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,3,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,4,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,5,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,6,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
2.000000,7,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,8,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,9,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,10,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,11,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,12,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.238944
2.000000,13,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
2.000000,14,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
2.000000,15,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
2.000000,16,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
2.000000,17,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
2.000000,18,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.142752
3.000000,0,greedy_backlog,4.000000,4.112000,0.000000,6,6.600000,0.514000,0.623030,4.112000
3.000000,1,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,2,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,3,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,4,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,5,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,6,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
3.000000,7,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,8,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,9,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,10,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,11,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,12,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.211155
3.000000,13,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
3.000000,14,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
3.000000,15,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
3.000000,16,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
3.000000,17,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
3.000000,18,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.187642
4.000000,0,greedy_backlog,4.000000,4.112000,0.000000,6,6.600000,0.514000,0.623030,4.112000
4.000000,1,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,2,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,3,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,4,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,5,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,6,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.154200,0.373818,1.233600
4.000000,7,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,8,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,9,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,10,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,11,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,12,greedy_backlog,1.200000,1.233600,0.000000,3,3.300000,0.170900,0.414303,1.242364
4.000000,13,greedy_backlog,1.200000,1.233600,0.016700,1,1.100000,0.137500,1.000000,1.170113
