beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,greedy_backlog,8.000000,8.224000,2.890119,6.305768,54.999534,0.351425,120000,42171,73859,0.351425,0.648575,5264.469832,24.360000,6,6.600000,6.600000
1,greedy_backlog,2.000000,2.056000,2.055931,2.055705,120.013248,0.999967,29999,29999,0,1.000000,0.000000,392.915242,0.000000,6,6.600000,2.275410
2,greedy_backlog,2.000000,2.056000,2.055863,2.011769,122.630182,0.999933,29998,29998,0,1.000000,0.000000,423.202814,0.239000,1,1.100000,1.852262
3,greedy_backlog,2.000000,2.056000,2.055794,2.011767,122.626182,0.999900,29997,29997,0,1.000000,0.000000,443.258772,0.239000,1,1.100000,1.852262
4,greedy_backlog,2.000000,2.056000,2.055657,2.026186,121.745455,0.999833,29995,29995,0,1.000000,0.000000,416.795669,0.119500,1,1.100000,2.040328
5,greedy_backlog,2.000000,2.056000,2.055589,2.026185,121.741454,0.999800,29994,29994,0,1.000000,0.000000,436.324343,0.119500,1,1.100000,2.040328
6,greedy_backlog,2.000000,2.056000,2.055520,2.055700,119.989498,0.999767,29993,29993,0,1.000000,0.000000,433.477097,0.000000,5,5.500000,2.275410
7,greedy_backlog,2.000000,2.056000,2.055452,2.055704,119.985248,0.999733,29992,29992,0,1.000000,0.000000,648.313018,0.000000,6,6.600000,2.395393
8,greedy_backlog,2.000000,2.056000,2.055315,2.055704,119.977248,0.999667,29990,29990,0,1.000000,0.000000,648.884246,0.000000,6,6.600000,2.395393
9,greedy_backlog,2.000000,2.056000,2.055246,2.055704,119.973248,0.999633,29989,29989,0,1.000000,0.000000,637.586742,0.000000,6,6.600000,2.395393
10,greedy_backlog,2.000000,2.056000,2.055178,1.997534,123.462909,0.999600,29988,29988,0,1.000000,0.000000,685.963512,0.358500,1,1.100000,1.763241
11,greedy_backlog,2.000000,2.056000,2.055109,1.997532,123.458909,0.999567,29987,29987,0,1.000000,0.000000,686.515133,0.358500,1,1.100000,1.763241
12,greedy_backlog,2.000000,2.056000,2.054972,1.997528,123.450909,0.999500,29985,29985,0,1.000000,0.000000,686.559490,0.358500,1,1.100000,1.763241
13,greedy_backlog,2.000000,2.056000,2.054903,2.011748,122.574182,0.999467,29984,29984,0,1.000000,0.000000,672.396175,0.239000,1,1.100000,1.929051
14,greedy_backlog,2.000000,2.056000,2.054835,2.011747,122.570182,0.999433,29983,29983,0,1.000000,0.000000,672.417884,0.239000,1,1.100000,1.929051
15,greedy_backlog,2.000000,2.056000,2.054766,2.011746,122.566182,0.999400,29982,29982,0,1.000000,0.000000,663.173433,0.239000,1,1.100000,1.929051
16,greedy_backlog,2.000000,2.056000,2.054629,2.026171,121.685455,0.999333,29980,29980,0,1.000000,0.000000,656.273606,0.119500,1,1.100000,2.136314
17,greedy_backlog,2.000000,2.056000,2.054561,2.026170,121.681455,0.999300,29979,29979,0,1.000000,0.000000,656.294789,0.119500,1,1.100000,2.136314
18,greedy_backlog,2.000000,2.056000,2.054492,2.026169,121.677454,0.999267,29978,29978,0,1.000000,0.000000,656.283406,0.119500,1,1.100000,2.136314
