time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,greedy_backlog,8.000000,8.224000,0.203000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,2,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,3,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,4,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,5,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,6,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,7,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,8,greedy_backlog,2.000000,2.056000,0.000000,4,4.400000,0.257000,0.467273,2.056000
0.000000,9,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,10,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,11,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,12,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,13,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,14,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,15,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,16,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,17,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
0.000000,18,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.100000
1.000000,0,greedy_backlog,8.000000,8.224000,0.406000,6,6.600000,0.825000,1.000000,6.600000
1.000000,1,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,2,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,3,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,4,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,5,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,6,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,7,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,8,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.864800
1.000000,9,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,10,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,11,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,12,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,13,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,14,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,1.482400
1.000000,15,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.100000
1.000000,16,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.100000
1.000000,17,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.100000
1.000000,18,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.100000
2.000000,0,greedy_backlog,8.000000,8.224000,0.609000,6,6.600000,0.825000,1.000000,6.600000
2.000000,1,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.376500,0.547636,2.094240
2.000000,2,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,3,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,4,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,5,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,6,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,7,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,8,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.711840
2.000000,9,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,10,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,11,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,12,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,13,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,14,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.405920
2.000000,15,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.673600
2.000000,16,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.673600
2.000000,17,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.673600
2.000000,18,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.673600
3.000000,0,greedy_backlog,8.000000,8.224000,0.812000,6,6.600000,0.825000,1.000000,6.600000
3.000000,1,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.895392
3.000000,2,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,2.163072
3.000000,3,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,2.163072
3.000000,4,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,2.163072
3.000000,5,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,2.163072
3.000000,6,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.496000,0.721455,2.163072
3.000000,7,greedy_backlog,2.000000,2.056000,0.358500,1,1.100000,0.137500,1.000000,1.589472
3.000000,8,greedy_backlog,2.000000,2.056000,0.358500,1,1.100000,0.137500,1.000000,1.589472
3.000000,9,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,10,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,11,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,12,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,13,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,14,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.344736
3.000000,15,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.558880
3.000000,16,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.558880
3.000000,17,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.558880
3.000000,18,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.558880
4.000000,0,greedy_backlog,8.000000,8.224000,1.015000,6,6.600000,0.825000,1.000000,6.600000
4.000000,1,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.736314
4.000000,2,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.950458
4.000000,3,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.950458
4.000000,4,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.950458
4.000000,5,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.950458
4.000000,6,greedy_backlog,2.000000,2.056000,0.119500,1,1.100000,0.137500,1.000000,1.950458
4.000000,7,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.615500,0.746061,2.256378
4.000000,8,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.615500,0.746061,2.256378
4.000000,9,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.869389
4.000000,10,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,1.869389
4.000000,11,greedy_backlog,2.000000,2.056000,0.000000,5,5.500000,0.496000,0.721455,1.869389
4.000000,12,greedy_backlog,2.000000,2.056000,0.358500,1,1.100000,0.137500,1.000000,1.295789
4.000000,13,greedy_backlog,2.000000,2.056000,0.358500,1,1.100000,0.137500,1.000000,1.295789
4.000000,14,greedy_backlog,2.000000,2.056000,0.358500,1,1.100000,0.137500,1.000000,1.295789
4.000000,15,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.467104
4.000000,16,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.467104
4.000000,17,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.467104
4.000000,18,greedy_backlog,2.000000,2.056000,0.239000,1,1.100000,0.137500,1.000000,1.467104
5.000000,0,greedy_backlog,8.000000,8.224000,1.218000,6,6.600000,0.825000,1.000000,6.600000
5.000000,1,greedy_backlog,2.000000,2.056000,0.000000,6,6.600000,0.496000,0.601212,2.182651
