beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,longest_queue_first,10.000000,10.280000,1.602583,6.410362,29.999870,0.155893,150000,23384,122507,0.155893,0.844107,5269.098819,55.200000,6,6.600000,6.600000
1,longest_queue_first,2.400000,2.467200,2.467131,2.459189,120.387564,0.999972,35999,35999,0,1.000000,0.000000,122.898386,0.066800,2,2.200000,2.410256
2,longest_queue_first,2.400000,2.467200,2.467063,2.459189,120.384231,0.999944,35998,35998,0,1.000000,0.000000,122.892039,0.066800,2,2.200000,2.410256
3,longest_queue_first,2.400000,2.467200,2.466926,2.459188,120.377564,0.999889,35996,35996,0,1.000000,0.000000,122.879398,0.066800,2,2.200000,2.410256
4,longest_queue_first,2.400000,2.467200,2.466857,2.459188,120.374231,0.999861,35995,35995,0,1.000000,0.000000,122.873103,0.066800,2,2.200000,2.410256
5,longest_queue_first,2.400000,2.467200,2.466720,2.459188,120.367564,0.999806,35993,35993,0,1.000000,0.000000,122.869612,0.066800,2,2.200000,2.410256
6,longest_queue_first,2.400000,2.467200,2.466652,2.459187,120.364231,0.999778,35992,35992,0,1.000000,0.000000,122.854316,0.066800,2,2.200000,2.410256
7,longest_queue_first,2.400000,2.467200,2.466515,2.461716,120.233928,0.999722,35990,35990,0,1.000000,0.000000,120.347479,0.033400,2,2.200000,2.462820
8,longest_queue_first,2.400000,2.467200,2.466446,2.461716,120.230595,0.999694,35989,35989,0,1.000000,0.000000,120.350198,0.033400,2,2.200000,2.462820
9,longest_queue_first,2.400000,2.467200,2.466309,2.461715,120.223928,0.999639,35987,35987,0,1.000000,0.000000,120.355636,0.033400,2,2.200000,2.462820
10,longest_queue_first,2.400000,2.467200,2.466241,2.461715,120.220595,0.999611,35986,35986,0,1.000000,0.000000,120.358356,0.033400,2,2.200000,2.462820
11,longest_queue_first,2.400000,2.467200,2.466103,2.461715,120.213928,0.999556,35984,35984,0,1.000000,0.000000,120.363795,0.033400,2,2.200000,2.462820
12,longest_queue_first,2.400000,2.467200,2.466035,2.461715,120.210595,0.999528,35983,35983,0,1.000000,0.000000,120.366515,0.033400,2,2.200000,2.462820
13,longest_queue_first,2.400000,2.467200,2.465898,2.466806,119.955818,0.999472,35981,35981,0,1.000000,0.000000,118.835857,0.000000,3,3.300000,2.528525
14,longest_queue_first,2.400000,2.467200,2.465829,2.466806,119.952485,0.999444,35980,35980,0,1.000000,0.000000,118.834235,0.000000,3,3.300000,2.528525
15,longest_queue_first,2.400000,2.467200,2.465692,2.466806,119.945818,0.999389,35978,35978,0,1.000000,0.000000,118.831039,0.000000,3,3.300000,2.528525
16,longest_queue_first,2.400000,2.467200,2.465624,2.466806,119.942485,0.999361,35977,35977,0,1.000000,0.000000,118.829467,0.000000,3,3.300000,2.528525
17,longest_queue_first,2.400000,2.467200,2.465487,2.466806,119.935818,0.999306,35975,35975,0,1.000000,0.000000,118.830590,0.000000,3,3.300000,2.528525
18,longest_queue_first,2.400000,2.467200,2.465418,2.466806,119.932485,0.999278,35974,35974,0,1.000000,0.000000,118.824853,0.000000,3,3.300000,2.528525
