beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,round_robin,10.000000,10.280000,0.301341,2.583055,13.999287,0.029313,150000,4397,143937,0.029313,0.970687,5933.094255,112.812500,2,2.200000,2.526450
1,round_robin,2.400000,2.467200,2.467131,2.454148,120.634838,0.999972,35999,35999,0,1.000000,0.000000,331.961168,0.133600,2,2.200000,2.332911
2,round_robin,2.400000,2.467200,2.467063,2.456666,120.507868,0.999944,35998,35998,0,1.000000,0.000000,327.324447,0.100200,2,2.200000,2.366139
3,round_robin,2.400000,2.467200,2.466926,2.459188,120.377564,0.999889,35996,35996,0,1.000000,0.000000,323.726228,0.066800,2,2.200000,2.407673
4,round_robin,2.400000,2.467200,2.466857,2.461717,120.250595,0.999861,35995,35995,0,1.000000,0.000000,321.149788,0.033400,2,2.200000,2.459592
5,round_robin,2.400000,2.467200,2.466720,2.466806,119.995818,0.999806,35993,35993,0,1.000000,0.000000,319.087995,0.000000,3,3.300000,2.524490
6,round_robin,2.400000,2.467200,2.466652,2.466806,119.992485,0.999778,35992,35992,0,1.000000,0.000000,319.096236,0.000000,3,3.300000,2.538812
7,round_robin,2.400000,2.467200,2.466515,2.466806,119.985818,0.999722,35990,35990,0,1.000000,0.000000,319.112718,0.000000,3,3.300000,2.556715
8,round_robin,2.400000,2.467200,2.466446,2.466806,119.982485,0.999694,35989,35989,0,1.000000,0.000000,319.120960,0.000000,3,3.300000,2.579094
9,round_robin,2.400000,2.467200,2.466309,2.466806,119.975818,0.999639,35987,35987,0,1.000000,0.000000,319.137445,0.000000,3,3.300000,2.607068
10,round_robin,2.400000,2.467200,2.466241,2.466806,119.972485,0.999611,35986,35986,0,1.000000,0.000000,319.145688,0.000000,3,3.300000,2.642034
11,round_robin,2.400000,2.467200,2.466103,2.466806,119.965818,0.999556,35984,35984,0,1.000000,0.000000,319.718118,0.000000,3,3.300000,2.685743
12,round_robin,2.400000,2.467200,2.466035,2.466806,119.962485,0.999528,35983,35983,0,1.000000,0.000000,321.482147,0.000000,3,3.300000,2.740379
13,round_robin,2.400000,2.467200,2.465898,2.466806,119.955818,0.999472,35981,35981,0,1.000000,0.000000,324.468760,0.092400,3,3.300000,2.623873
14,round_robin,2.400000,2.467200,2.465829,2.461861,120.193433,0.999444,35980,35980,0,1.000000,0.000000,327.695755,0.196500,3,3.300000,2.454842
15,round_robin,2.400000,2.467200,2.465692,2.441622,121.183021,0.999389,35978,35978,0,1.000000,0.000000,336.222742,0.300600,2,2.200000,2.243552
16,round_robin,2.400000,2.467200,2.465624,2.444114,121.056051,0.999361,35977,35977,0,1.000000,0.000000,333.024117,0.267200,2,2.200000,2.254440
17,round_robin,2.400000,2.467200,2.465487,2.446612,120.925747,0.999306,35975,35975,0,1.000000,0.000000,332.074854,0.233800,2,2.200000,2.268050
18,round_robin,2.400000,2.467200,2.465418,2.449116,120.798778,0.999278,35974,35974,0,1.000000,0.000000,333.321805,0.200400,2,2.200000,2.285063
