time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,equal,10.000000,10.280000,0.872500,3,3.300000,0.412500,1.000000,3.300000
0.000000,1,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,2,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,3,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,4,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,5,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,6,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,7,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,8,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,9,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,10,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,equal,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,equal,10.000000,10.280000,1.745000,3,3.300000,0.412500,1.000000,3.300000
1.000000,1,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,2,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,3,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,4,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,5,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,6,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,7,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,8,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,9,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,10,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,11,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,12,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,13,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,14,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,15,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,16,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,17,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,18,equal,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
2.000000,0,equal,10.000000,10.280000,2.617500,3,3.300000,0.412500,1.000000,3.300000
2.000000,1,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,2,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,3,equal,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
