time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,greedy_backlog,10.000000,10.280000,0.460000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,2,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,3,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,4,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,5,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,6,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.308400,0.448582,2.467200
0.000000,7,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,8,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,9,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,10,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,11,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,12,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,13,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,14,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,15,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,16,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,17,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
0.000000,18,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,1.100000
1.000000,0,greedy_backlog,10.000000,10.280000,0.920000,6,6.600000,0.825000,1.000000,6.600000
1.000000,1,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,2,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,3,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,4,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,5,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,6,greedy_backlog,2.400000,2.467200,0.170900,1,1.100000,0.137500,1.000000,2.193760
1.000000,7,greedy_backlog,2.400000,2.467200,0.000000,6,6.600000,0.479300,0.580970,1.646880
1.000000,8,greedy_backlog,2.400000,2.467200,0.000000,6,6.600000,0.479300,0.580970,1.646880
1.000000,9,greedy_backlog,2.400000,2.467200,0.000000,6,6.600000,0.479300,0.580970,1.646880
1.000000,10,greedy_backlog,2.400000,2.467200,0.000000,6,6.600000,0.479300,0.580970,1.646880
1.000000,11,greedy_backlog,2.400000,2.467200,0.000000,5,5.500000,0.479300,0.697164,1.646880
