time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,round_robin,10.000000,10.280000,0.872500,3,3.300000,0.412500,1.000000,3.300000
0.000000,1,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,2,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,3,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,4,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,5,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,6,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,7,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,8,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,9,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
0.000000,10,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,round_robin,10.000000,10.280000,1.882500,2,2.200000,0.275000,1.000000,3.080000
1.000000,1,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,2,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,3,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,4,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,5,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,6,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,7,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,8,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,9,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
1.000000,10,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.341800,0.828606,2.306880
1.000000,11,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,12,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,13,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,14,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,15,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,16,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,17,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
1.000000,18,round_robin,2.400000,2.467200,0.066800,2,2.200000,0.275000,1.000000,2.200000
2.000000,0,round_robin,10.000000,10.280000,2.892500,2,2.200000,0.275000,1.000000,2.904000
2.000000,1,round_robin,2.400000,2.467200,0.033400,2,2.200000,0.275000,1.000000,2.413760
2.000000,2,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,3,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,4,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,5,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,6,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,7,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,8,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,9,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.467200
2.000000,10,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.308400,0.747636,2.338944
2.000000,11,round_robin,2.400000,2.467200,0.000000,3,3.300000,0.375200,0.909576,2.360320
2.000000,12,round_robin,2.400000,2.467200,0.100200,2,2.200000,0.275000,1.000000,2.200000
2.000000,13,round_robin,2.400000,2.467200,0.100200,2,2.200000,0.275000,1.000000,2.200000
2.000000,14,round_robin,2.400000,2.467200,0.100200,2,2.200000,0.275000,1.000000,2.200000
