beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,equal,12.000000,12.336000,0.383650,3.288886,13.998038,0.031100,180000,5598,172988,0.031100,0.968900,5144.599915,135.540000,3,3.300000,3.300000
1,equal,3.200000,3.289600,3.289463,3.289052,120.014997,0.999958,47998,47998,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
2,equal,3.200000,3.289600,3.289326,3.289052,120.009997,0.999917,47996,47996,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
3,equal,3.200000,3.289600,3.289189,3.289052,120.004997,0.999875,47994,47994,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
4,equal,3.200000,3.289600,3.289052,3.289052,119.999997,0.999833,47992,47992,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
5,equal,3.200000,3.289600,3.288915,3.289052,119.994997,0.999792,47990,47990,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
6,equal,3.200000,3.289600,3.288778,3.289052,119.989997,0.999750,47988,47988,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
7,equal,3.200000,3.289600,3.288641,3.289052,119.984997,0.999708,47986,47986,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
8,equal,3.200000,3.289600,3.288503,3.289052,119.979997,0.999667,47984,47984,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
9,equal,3.200000,3.289600,3.288366,3.289052,119.974997,0.999625,47982,47982,0,1.000000,0.000000,22.496970,0.000000,3,3.300000,3.289600
10,equal,3.200000,3.289600,0.576434,2.099540,32.946295,0.175229,47980,8411,38197,0.175302,0.824698,5264.050896,16.344000,2,2.200000,2.200000
11,equal,3.200000,3.289600,0.576434,2.099779,32.942549,0.175229,47978,8411,38194,0.175310,0.824690,5264.123749,16.344000,2,2.200000,2.200000
12,equal,3.200000,3.289600,0.576502,2.100267,32.938804,0.175250,47976,8412,38191,0.175338,0.824662,5264.795394,16.344000,2,2.200000,2.200000
13,equal,3.200000,3.289600,0.576434,2.100495,32.931313,0.175229,47974,8411,38191,0.175324,0.824676,5264.149810,16.344000,2,2.200000,2.200000
14,equal,3.200000,3.289600,0.576434,2.100734,32.927568,0.175229,47972,8411,38189,0.175331,0.824669,5264.221478,16.344000,2,2.200000,2.200000
15,equal,3.200000,3.289600,0.576502,2.101223,32.923822,0.175250,47970,8412,38187,0.175360,0.824640,5264.891335,16.344000,2,2.200000,2.200000
16,equal,3.200000,3.289600,0.576365,2.101201,32.916331,0.175208,47968,8410,38187,0.175325,0.824675,5263.646685,16.344000,2,2.200000,2.200000
17,equal,3.200000,3.289600,0.576434,2.101690,32.912586,0.175229,47966,8411,38184,0.175353,0.824647,5264.315654,16.344000,2,2.200000,2.200000
18,equal,3.200000,3.289600,0.576502,2.102179,32.908840,0.175250,47964,8412,38182,0.175382,0.824618,5264.983723,16.344000,2,2.200000,2.200000
