beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,greedy_backlog,12.000000,12.336000,1.234354,6.440215,22.999615,0.100061,180000,18011,157223,0.100061,0.899939,5265.700084,86.040000,6,6.600000,6.600000
1,greedy_backlog,3.200000,3.289600,0.955903,2.390042,47.994280,0.290583,47998,13948,32868,0.290595,0.709405,5587.208562,11.120300,1,1.100000,2.254098
2,greedy_backlog,3.200000,3.289600,0.947542,2.419822,46.989000,0.288042,47996,13826,32533,0.288066,0.711934,5662.238678,10.845300,1,1.100000,2.748710
3,greedy_backlog,3.200000,3.289600,0.938975,2.348231,47.983793,0.285437,47994,13701,32500,0.285473,0.714527,5610.448143,10.707800,6,6.600000,3.044139
4,greedy_backlog,3.200000,3.289600,0.940551,2.402685,46.975017,0.285917,47992,13724,32836,0.285964,0.714036,5678.511710,10.982800,1,1.100000,2.601386
5,greedy_backlog,3.200000,3.289600,0.929312,2.425915,45.969237,0.282500,47990,13560,33358,0.282559,0.717441,5620.721660,11.257800,1,1.100000,2.095399
6,greedy_backlog,3.200000,3.289600,0.956794,2.444467,46.969451,0.290854,47988,13961,32660,0.290927,0.709073,5393.241348,10.846600,1,1.100000,2.655311
7,greedy_backlog,3.200000,3.289600,0.957137,2.445837,46.959956,0.290958,47986,13966,32522,0.291043,0.708957,5523.569942,10.984100,1,1.100000,2.418968
8,greedy_backlog,3.200000,3.289600,0.937810,2.346494,47.959737,0.285083,47984,13684,32915,0.285178,0.714822,5398.385906,10.709100,6,6.600000,2.996319
9,greedy_backlog,3.200000,3.289600,0.954464,2.339669,48.953774,0.290146,47982,13927,32590,0.290255,0.709745,5567.084593,11.121600,1,1.100000,2.301109
10,greedy_backlog,3.200000,3.289600,0.944663,2.364159,47.949238,0.287167,47980,13784,33107,0.287286,0.712714,5528.969171,11.259100,1,1.100000,2.070916
11,greedy_backlog,3.200000,3.289600,0.992431,2.433225,48.943988,0.301687,47978,14481,32245,0.301826,0.698174,5500.715147,11.119000,1,1.100000,2.313644
12,greedy_backlog,3.200000,3.289600,0.962825,2.360878,48.938988,0.292687,47976,14049,32615,0.292834,0.707166,5331.829033,10.981500,1,1.100000,2.542623
13,greedy_backlog,3.200000,3.289600,0.973722,2.437646,47.934201,0.296000,47974,14208,32111,0.296160,0.703840,5429.378601,10.706500,6,6.600000,3.160887
14,greedy_backlog,3.200000,3.289600,0.962208,2.409324,47.924207,0.292500,47972,14040,32551,0.292671,0.707329,5473.618851,10.844000,6,6.600000,2.976732
15,greedy_backlog,3.200000,3.289600,0.998119,2.399120,49.924274,0.303417,47970,14564,32085,0.303606,0.696394,5242.736975,10.981500,1,1.100000,2.617056
16,greedy_backlog,3.200000,3.289600,0.996680,2.395893,49.919444,0.302979,47968,14543,32172,0.303181,0.696819,5206.834097,11.119000,1,1.100000,2.344249
17,greedy_backlog,3.200000,3.289600,1.007029,2.421278,49.908956,0.306125,47966,14694,31891,0.306342,0.693658,5303.478774,11.256500,1,1.100000,2.155174
18,greedy_backlog,3.200000,3.289600,0.997982,2.399503,49.909456,0.303375,47964,14562,31793,0.303603,0.696397,5351.155262,10.844000,5,5.500000,2.903279
