beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,longest_queue_first,12.000000,12.336000,1.234354,6.440215,22.999615,0.100061,180000,18011,157223,0.100061,0.899939,5265.700084,86.040000,6,6.600000,6.600000
1,longest_queue_first,3.200000,3.289600,0.998942,2.446734,48.993073,0.303667,47998,14576,31964,0.303679,0.696321,5345.489823,10.845300,2,2.200000,2.488525
2,longest_queue_first,3.200000,3.289600,0.998942,2.446921,48.989327,0.303667,47996,14576,31963,0.303692,0.696308,5345.314283,10.845300,2,2.200000,2.488525
3,longest_queue_first,3.200000,3.289600,0.999079,2.447506,48.984333,0.303708,47994,14578,31959,0.303746,0.696254,5344.329130,10.845300,2,2.200000,2.488525
4,longest_queue_first,3.200000,3.289600,0.999079,2.447818,48.978091,0.303708,47992,14578,31957,0.303759,0.696241,5344.164854,10.845300,2,2.200000,2.488525
5,longest_queue_first,3.200000,3.289600,0.999079,2.448006,48.974345,0.303708,47990,14578,31955,0.303772,0.696228,5343.988655,10.845300,2,2.200000,2.488525
6,longest_queue_first,3.200000,3.289600,0.999216,2.448591,48.969351,0.303750,47988,14580,31951,0.303826,0.696174,5343.001769,10.845300,2,2.200000,2.488525
7,longest_queue_first,3.200000,3.289600,1.025396,2.462707,49.964315,0.311708,47986,14962,31409,0.311799,0.688201,5208.322975,10.844000,3,3.300000,2.650790
8,longest_queue_first,3.200000,3.289600,1.025259,2.462625,49.959315,0.311667,47984,14960,31409,0.311771,0.688229,5209.016267,10.844000,3,3.300000,2.650790
9,longest_queue_first,3.200000,3.289600,1.025122,2.462542,49.954315,0.311625,47982,14958,31409,0.311742,0.688258,5209.709744,10.844000,3,3.300000,2.650790
10,longest_queue_first,3.200000,3.289600,1.024985,2.462459,49.949315,0.311583,47980,14956,31409,0.311713,0.688287,5210.403408,10.844000,3,3.300000,2.650790
11,longest_queue_first,3.200000,3.289600,1.024847,2.462376,49.944315,0.311542,47978,14954,31409,0.311685,0.688315,5211.097256,10.844000,3,3.300000,2.650790
12,longest_queue_first,3.200000,3.289600,1.024710,2.462293,49.939315,0.311500,47976,14952,31409,0.311656,0.688344,5211.791291,10.844000,3,3.300000,2.650790
13,longest_queue_first,3.200000,3.289600,1.009839,2.426795,49.934430,0.306979,47974,14735,31743,0.307146,0.692854,5252.426485,10.844000,2,2.200000,2.560685
14,longest_queue_first,3.200000,3.289600,1.009907,2.427263,49.928188,0.307000,47972,14736,31740,0.307179,0.692821,5252.633619,10.844000,2,2.200000,2.560685
15,longest_queue_first,3.200000,3.289600,1.010113,2.428000,49.923194,0.307063,47970,14739,31734,0.307255,0.692745,5251.979252,10.844000,2,2.200000,2.560685
16,longest_queue_first,3.200000,3.289600,1.010113,2.428183,49.919448,0.307063,47968,14739,31733,0.307267,0.692733,5251.791891,10.844000,2,2.200000,2.560685
17,longest_queue_first,3.200000,3.289600,1.010181,2.428651,49.913206,0.307083,47966,14740,31729,0.307301,0.692699,5251.997661,10.844000,2,2.200000,2.560685
18,longest_queue_first,3.200000,3.289600,1.010387,2.429388,49.908212,0.307146,47964,14743,31724,0.307376,0.692624,5251.340897,10.844000,2,2.200000,2.560685
