beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,proportional_fair,12.000000,12.336000,1.197757,6.249272,22.999615,0.097094,180000,17477,157839,0.097094,0.902906,5436.499670,86.315000,6,6.600000,6.600000
1,proportional_fair,3.200000,3.289600,0.981192,2.403258,48.993073,0.298271,47998,14317,32230,0.298283,0.701717,5392.632431,10.845300,2,2.200000,2.560656
2,proportional_fair,3.200000,3.289600,0.981192,2.403442,48.989327,0.298271,47996,14317,32227,0.298296,0.701704,5392.477987,10.845300,2,2.200000,2.560656
3,proportional_fair,3.200000,3.289600,0.971529,2.429679,47.983048,0.295333,47994,14176,32088,0.295370,0.704630,5476.659261,10.845300,3,3.300000,2.650820
4,proportional_fair,3.200000,3.289600,0.971529,2.429869,47.979303,0.295333,47992,14176,32087,0.295383,0.704617,5476.513644,10.845300,3,3.300000,2.650820
5,proportional_fair,3.200000,3.289600,0.971529,2.430185,47.973060,0.295333,47990,14176,32085,0.295395,0.704605,5476.332997,10.845300,3,3.300000,2.650820
6,proportional_fair,3.200000,3.289600,0.971666,2.430781,47.968066,0.295375,47988,14178,32081,0.295449,0.704551,5475.417539,10.845300,3,3.300000,2.650820
7,proportional_fair,3.200000,3.289600,1.052809,2.478932,50.964315,0.320042,47986,15362,30959,0.320135,0.679865,5073.293004,10.706500,3,3.300000,2.650820
8,proportional_fair,3.200000,3.289600,1.052672,2.478853,50.959315,0.320000,47984,15360,30959,0.320107,0.679893,5073.950660,10.706500,3,3.300000,2.650820
9,proportional_fair,3.200000,3.289600,1.034922,2.437352,50.953103,0.314604,47982,15101,31440,0.314722,0.685278,5122.695206,10.844000,2,2.200000,2.488525
10,proportional_fair,3.200000,3.289600,1.034785,2.437268,50.948103,0.314562,47980,15099,31440,0.314694,0.685306,5123.370774,10.844000,2,2.200000,2.488525
11,proportional_fair,3.200000,3.289600,1.034648,2.437184,50.943103,0.314521,47978,15097,31440,0.314665,0.685335,5124.046521,10.844000,2,2.200000,2.488525
12,proportional_fair,3.200000,3.289600,1.034511,2.437101,50.938103,0.314479,47976,15095,31440,0.314636,0.685364,5124.722446,10.844000,2,2.200000,2.488525
13,proportional_fair,3.200000,3.289600,1.034374,2.437017,50.933103,0.314437,47974,15093,31440,0.314608,0.685392,5125.398551,10.844000,2,2.200000,2.488525
14,proportional_fair,3.200000,3.289600,1.034237,2.436933,50.928103,0.314396,47972,15091,31440,0.314579,0.685421,5126.074835,10.844000,2,2.200000,2.488525
15,proportional_fair,3.200000,3.289600,1.027178,2.469019,49.923194,0.312250,47970,14988,31485,0.312445,0.687555,5204.506460,10.844000,2,2.200000,2.560656
16,proportional_fair,3.200000,3.289600,1.027178,2.469204,49.919448,0.312250,47968,14988,31484,0.312458,0.687542,5204.365744,10.844000,2,2.200000,2.560656
17,proportional_fair,3.200000,3.289600,1.027178,2.469513,49.913206,0.312250,47966,14988,31481,0.312471,0.687529,5204.125174,10.844000,2,2.200000,2.560656
18,proportional_fair,3.200000,3.289600,1.027315,2.470090,49.908212,0.312292,47964,14990,31477,0.312526,0.687474,5203.086515,10.844000,2,2.200000,2.560656
