beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,demand_satisfaction,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps,ewma_served_mbps
0,round_robin,12.000000,12.336000,0.273859,2.528320,12.998002,0.022200,180000,3996,174978,0.022200,0.977800,5776.952119,143.652500,2,2.200000,2.526450
1,round_robin,3.200000,3.289600,1.429263,2.680084,63.994826,0.434479,47998,20855,25144,0.434497,0.565503,5583.868266,7.821600,2,2.200000,2.608062
2,round_robin,3.200000,3.289600,1.456539,2.689416,64.989826,0.442771,47996,21253,24744,0.442808,0.557192,5479.721756,7.685400,2,2.200000,2.710078
3,round_robin,3.200000,3.289600,1.483815,2.698466,65.984826,0.451062,47994,21651,24344,0.451119,0.548881,5379.404197,7.549200,2,2.200000,2.837597
4,round_robin,3.200000,3.289600,1.511091,2.707248,66.979826,0.459354,47992,22049,23944,0.459431,0.540569,5282.708244,7.413000,2,2.200000,2.996997
5,round_robin,3.200000,3.289600,1.538368,2.715772,67.974826,0.467646,47990,22447,23544,0.467743,0.532257,5189.441255,7.276800,3,3.300000,3.196246
6,round_robin,3.200000,3.289600,1.565644,2.724050,68.969826,0.475937,47988,22845,23144,0.476057,0.523943,5099.424016,7.278100,3,3.300000,3.170307
7,round_robin,3.200000,3.289600,1.592920,2.732093,69.964826,0.484229,47986,23243,22744,0.484370,0.515630,5012.489586,7.279400,3,3.300000,3.137884
8,round_robin,3.200000,3.289600,1.620197,2.739911,70.959826,0.492521,47984,23641,22344,0.492685,0.507315,4928.482266,7.280700,3,3.300000,3.097355
9,round_robin,3.200000,3.289600,1.647473,2.747512,71.954826,0.500812,47982,24039,21944,0.501000,0.499000,4847.256668,7.282000,3,3.300000,3.046694
10,round_robin,3.200000,3.289600,1.674749,2.754906,72.949826,0.509104,47980,24437,21544,0.509316,0.490684,4768.676876,7.406500,3,3.300000,2.983367
11,round_robin,3.200000,3.289600,1.676874,2.758668,72.942760,0.509750,47978,24468,21511,0.509984,0.490016,4961.511967,7.544000,3,3.300000,2.904209
12,round_robin,3.200000,3.289600,1.676942,2.758969,72.937766,0.509771,47976,24469,21508,0.510026,0.489974,5177.926124,7.681500,3,3.300000,2.805261
13,round_robin,3.200000,3.289600,1.677011,2.759224,72.934021,0.509792,47974,24470,21505,0.510068,0.489932,5395.680467,7.819000,3,3.300000,2.681577
14,round_robin,3.200000,3.289600,1.603406,2.638346,72.927779,0.487417,47972,23396,22577,0.487701,0.512299,5399.704246,7.956500,3,3.300000,2.526971
15,round_robin,3.200000,3.289600,1.512668,2.489210,72.922785,0.459833,47970,22072,23899,0.460121,0.539879,5311.635827,8.094000,2,2.200000,2.333714
16,round_robin,3.200000,3.289600,1.421450,2.339224,72.919039,0.432104,47968,20741,25228,0.432392,0.567608,5169.713880,8.094000,2,2.200000,2.367142
17,round_robin,3.200000,3.289600,1.401918,2.673930,62.914929,0.426167,47966,20456,25511,0.426469,0.573531,5284.686236,8.094000,2,2.200000,2.408928
18,round_robin,3.200000,3.289600,1.401986,2.674273,62.909935,0.426187,47964,20457,25508,0.426507,0.573493,5478.869135,8.094000,2,2.200000,2.461160
