time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,equal,12.000000,12.336000,1.129500,3,3.300000,0.412500,1.000000,3.300000
0.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,10,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,equal,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,equal,12.000000,12.336000,2.259000,3,3.300000,0.412500,1.000000,3.300000
1.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
1.000000,10,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,11,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,12,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,13,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,14,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,15,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,16,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,17,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,18,equal,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
2.000000,0,equal,12.000000,12.336000,3.388500,3,3.300000,0.412500,1.000000,3.300000
2.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
2.000000,10,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,11,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,12,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,13,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,14,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,15,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,16,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,17,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
2.000000,18,equal,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.200000
3.000000,0,equal,12.000000,12.336000,4.518000,3,3.300000,0.412500,1.000000,3.300000
3.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
3.000000,10,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,11,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,12,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,13,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,14,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,15,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,16,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,17,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
3.000000,18,equal,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.200000
4.000000,0,equal,12.000000,12.336000,5.647500,3,3.300000,0.412500,1.000000,3.300000
4.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
4.000000,10,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,11,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,12,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,13,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,14,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,15,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,16,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,17,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
4.000000,18,equal,3.200000,3.289600,0.681000,2,2.200000,0.275000,1.000000,2.200000
5.000000,0,equal,12.000000,12.336000,6.777000,3,3.300000,0.412500,1.000000,3.300000
5.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
5.000000,10,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,11,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,12,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,13,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,14,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,15,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,16,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,17,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
5.000000,18,equal,3.200000,3.289600,0.817200,2,2.200000,0.275000,1.000000,2.200000
6.000000,0,equal,12.000000,12.336000,7.906500,3,3.300000,0.412500,1.000000,3.300000
6.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
6.000000,10,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,11,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,12,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,13,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,14,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,15,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,16,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,17,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
6.000000,18,equal,3.200000,3.289600,0.953400,2,2.200000,0.275000,1.000000,2.200000
7.000000,0,equal,12.000000,12.336000,9.036000,3,3.300000,0.412500,1.000000,3.300000
7.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
7.000000,10,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,11,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,12,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,13,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,14,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,15,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,16,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,17,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
7.000000,18,equal,3.200000,3.289600,1.089600,2,2.200000,0.275000,1.000000,2.200000
8.000000,0,equal,12.000000,12.336000,10.165500,3,3.300000,0.412500,1.000000,3.300000
8.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
8.000000,10,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,11,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,12,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,13,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,14,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,15,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,16,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,17,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
8.000000,18,equal,3.200000,3.289600,1.225800,2,2.200000,0.275000,1.000000,2.200000
9.000000,0,equal,12.000000,12.336000,11.295000,3,3.300000,0.412500,1.000000,3.300000
9.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
9.000000,10,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,11,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,12,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,13,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,14,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,15,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,16,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,17,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
9.000000,18,equal,3.200000,3.289600,1.362000,2,2.200000,0.275000,1.000000,2.200000
10.000000,0,equal,12.000000,12.336000,12.424500,3,3.300000,0.412500,1.000000,3.300000
10.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
10.000000,10,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,11,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,12,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,13,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,14,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,15,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,16,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,17,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
10.000000,18,equal,3.200000,3.289600,1.498200,2,2.200000,0.275000,1.000000,2.200000
11.000000,0,equal,12.000000,12.336000,13.554000,3,3.300000,0.412500,1.000000,3.300000
11.000000,1,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,2,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,3,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,4,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,5,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,6,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,7,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,8,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
11.000000,9,equal,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
