time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,greedy_backlog,12.000000,12.336000,0.717000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.411200,0.498424,3.289600
0.000000,2,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.411200,0.498424,3.289600
0.000000,3,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.411200,0.498424,3.289600
0.000000,4,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.411200,0.498424,3.289600
0.000000,5,greedy_backlog,3.200000,3.289600,0.000000,5,5.500000,0.411200,0.598109,3.289600
0.000000,6,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,7,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,8,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,9,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,10,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,11,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,12,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,13,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,14,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,15,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,16,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,17,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
0.000000,18,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.100000
1.000000,0,greedy_backlog,12.000000,12.336000,1.434000,6,6.600000,0.825000,1.000000,6.600000
1.000000,1,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,2.851680
1.000000,2,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,2.851680
1.000000,3,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,2.851680
1.000000,4,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,2.851680
1.000000,5,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,2.851680
1.000000,6,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.684900,0.830182,1.975840
1.000000,7,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.684900,0.830182,1.975840
1.000000,8,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.684900,0.830182,1.975840
1.000000,9,greedy_backlog,3.200000,3.289600,0.000000,6,6.600000,0.684900,0.830182,1.975840
1.000000,10,greedy_backlog,3.200000,3.289600,0.000000,5,5.500000,0.684900,0.996218,1.975840
1.000000,11,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,12,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,13,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,14,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,15,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,16,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,17,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
1.000000,18,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,1.100000
2.000000,0,greedy_backlog,12.000000,12.336000,2.151000,6,6.600000,0.825000,1.000000,6.600000
2.000000,1,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,2.501344
2.000000,2,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,2.501344
2.000000,3,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,2.501344
2.000000,4,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,2.501344
2.000000,5,greedy_backlog,3.200000,3.289600,0.547400,1,1.100000,0.137500,1.000000,2.501344
2.000000,6,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.800672
2.000000,7,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.800672
2.000000,8,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.800672
2.000000,9,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.800672
2.000000,10,greedy_backlog,3.200000,3.289600,0.273700,1,1.100000,0.137500,1.000000,1.800672
2.000000,11,greedy_backlog,3.200000,3.289600,0.133600,6,6.600000,0.825000,1.000000,2.200000
2.000000,12,greedy_backlog,3.200000,3.289600,0.133600,6,6.600000,0.825000,1.000000,2.200000
2.000000,13,greedy_backlog,3.200000,3.289600,0.133600,6,6.600000,0.825000,1.000000,2.200000
2.000000,14,greedy_backlog,3.200000,3.289600,0.133600,6,6.600000,0.825000,1.000000,2.200000
