time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,longest_queue_first,12.000000,12.336000,0.717000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,2,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,3,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,4,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,5,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,6,longest_queue_first,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,7,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,8,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,9,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,10,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,longest_queue_first,12.000000,12.336000,1.434000,6,6.600000,0.825000,1.000000,6.600000
1.000000,1,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,2,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,3,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,4,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,5,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,6,longest_queue_first,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,7,longest_queue_first,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,8,longest_queue_first,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,9,longest_queue_first,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,10,longest_queue_first,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
