time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization,ewma_served_mbps
0.000000,0,proportional_fair,12.000000,12.336000,0.717000,6,6.600000,0.825000,1.000000,6.600000
0.000000,1,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,2,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,3,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,4,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,5,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,6,proportional_fair,3.200000,3.289600,0.000000,3,3.300000,0.411200,0.996848,3.289600
0.000000,7,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,8,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,9,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,10,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,11,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,12,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,13,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,14,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,15,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,16,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,17,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
0.000000,18,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,2.200000
1.000000,0,proportional_fair,12.000000,12.336000,1.709000,4,4.400000,0.550000,1.000000,6.160000
1.000000,1,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,2,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,3,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,4,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,5,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,6,proportional_fair,3.200000,3.289600,0.136200,2,2.200000,0.275000,1.000000,3.071680
1.000000,7,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,8,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,9,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,10,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,11,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,12,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,13,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,14,proportional_fair,3.200000,3.289600,0.134900,3,3.300000,0.412500,1.000000,2.420000
1.000000,15,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,16,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,17,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
1.000000,18,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.200000
2.000000,0,proportional_fair,12.000000,12.336000,2.426000,6,6.600000,0.825000,1.000000,6.248000
2.000000,1,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,2,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,3,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,4,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,5,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,6,proportional_fair,3.200000,3.289600,0.272400,2,2.200000,0.275000,1.000000,2.897344
2.000000,7,proportional_fair,3.200000,3.289600,0.133600,3,3.300000,0.412500,1.000000,2.596000
2.000000,8,proportional_fair,3.200000,3.289600,0.133600,3,3.300000,0.412500,1.000000,2.596000
2.000000,9,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,10,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,11,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,12,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,13,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,14,proportional_fair,3.200000,3.289600,0.271100,2,2.200000,0.275000,1.000000,2.376000
2.000000,15,proportional_fair,3.200000,3.289600,0.271100,3,3.300000,0.412500,1.000000,2.420000
2.000000,16,proportional_fair,3.200000,3.289600,0.271100,3,3.300000,0.412500,1.000000,2.420000
2.000000,17,proportional_fair,3.200000,3.289600,0.271100,3,3.300000,0.412500,1.000000,2.420000
2.000000,18,proportional_fair,3.200000,3.289600,0.271100,3,3.300000,0.412500,1.000000,2.420000
3.000000,0,proportional_fair,12.000000,12.336000,3.143000,6,6.600000,0.825000,1.000000,6.318400
3.000000,1,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,2,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,3,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,4,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,5,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,6,proportional_fair,3.200000,3.289600,0.408600,2,2.200000,0.275000,1.000000,2.757875
3.000000,7,proportional_fair,3.200000,3.289600,0.269800,2,2.200000,0.275000,1.000000,2.516800
3.000000,8,proportional_fair,3.200000,3.289600,0.269800,2,2.200000,0.275000,1.000000,2.516800
3.000000,9,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,10,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,11,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,12,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,13,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,14,proportional_fair,3.200000,3.289600,0.269800,3,3.300000,0.412500,1.000000,2.560800
3.000000,15,proportional_fair,3.200000,3.289600,0.407300,2,2.200000,0.275000,1.000000,2.376000
3.000000,16,proportional_fair,3.200000,3.289600,0.407300,2,2.200000,0.275000,1.000000,2.376000
3.000000,17,proportional_fair,3.200000,3.289600,0.407300,2,2.200000,0.275000,1.000000,2.376000
3.000000,18,proportional_fair,3.200000,3.289600,0.407300,2,2.200000,0.275000,1.000000,2.376000
4.000000,0,proportional_fair,12.000000,12.336000,3.860000,6,6.600000,0.825000,1.000000,6.374720
4.000000,1,proportional_fair,3.200000,3.289600,0.407300,3,3.300000,0.412500,1.000000,2.866300
4.000000,2,proportional_fair,3.200000,3.289600,0.407300,3,3.300000,0.412500,1.000000,2.866300
4.000000,3,proportional_fair,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.646300
4.000000,4,proportional_fair,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.646300
4.000000,5,proportional_fair,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.646300
4.000000,6,proportional_fair,3.200000,3.289600,0.544800,2,2.200000,0.275000,1.000000,2.646300
4.000000,7,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.453440
4.000000,8,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.453440
4.000000,9,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,10,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,11,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,12,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,13,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,14,proportional_fair,3.200000,3.289600,0.406000,2,2.200000,0.275000,1.000000,2.488640
4.000000,15,proportional_fair,3.200000,3.289600,0.406000,3,3.300000,0.412500,1.000000,2.560800
4.000000,16,proportional_fair,3.200000,3.289600,0.406000,3,3.300000,0.412500,1.000000,2.560800
4.000000,17,proportional_fair,3.200000,3.289600,0.406000,3,3.300000,0.412500,1.000000,2.560800
4.000000,18,proportional_fair,3.200000,3.289600,0.406000,3,3.300000,0.412500,1.000000,2.560800
5.000000,0,proportional_fair,12.000000,12.336000,4.577000,6,6.600000,0.825000,1.000000,6.419776
5.000000,1,proportional_fair,3.200000,3.289600,0.543500,2,2.200000,0.275000,1.000000,2.733040
5.000000,2,proportional_fair,3.200000,3.289600,0.543500,2,2.200000,0.275000,1.000000,2.733040
5.000000,3,proportional_fair,3.200000,3.289600,0.543500,3,3.300000,0.412500,1.000000,2.777040
5.000000,4,proportional_fair,3.200000,3.289600,0.543500,3,3.300000,0.412500,1.000000,2.777040
5.000000,5,proportional_fair,3.200000,3.289600,0.543500,3,3.300000,0.412500,1.000000,2.777040
5.000000,6,proportional_fair,3.200000,3.289600,0.543500,3,3.300000,0.412500,1.000000,2.777040
5.000000,7,proportional_fair,3.200000,3.289600,0.404700,3,3.300000,0.412500,1.000000,2.622752
5.000000,8,proportional_fair,3.200000,3.289600,0.404700,3,3.300000,0.412500,1.000000,2.622752
5.000000,9,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,10,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,11,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,12,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,13,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,14,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.430912
5.000000,15,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.488640
5.000000,16,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.488640
5.000000,17,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.488640
5.000000,18,proportional_fair,3.200000,3.289600,0.542200,2,2.200000,0.275000,1.000000,2.488640
6.000000,0,proportional_fair,12.000000,12.336000,5.294000,6,6.600000,0.825000,1.000000,6.455821
6.000000,1,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.626432
6.000000,2,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.626432
6.000000,3,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.661632
6.000000,4,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.661632
6.000000,5,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.661632
6.000000,6,proportional_fair,3.200000,3.289600,0.679700,2,2.200000,0.275000,1.000000,2.661632
6.000000,7,proportional_fair,3.200000,3.289600,0.540900,2,2.200000,0.275000,1.000000,2.538202
6.000000,8,proportional_fair,3.200000,3.289600,0.540900,2,2.200000,0.275000,1.000000,2.538202
6.000000,9,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,10,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,11,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,12,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,13,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,14,proportional_fair,3.200000,3.289600,0.540900,3,3.300000,0.412500,1.000000,2.604730
6.000000,15,proportional_fair,3.200000,3.289600,0.678400,2,2.200000,0.275000,1.000000,2.430912
6.000000,16,proportional_fair,3.200000,3.289600,0.678400,2,2.200000,0.275000,1.000000,2.430912
6.000000,17,proportional_fair,3.200000,3.289600,0.678400,2,2.200000,0.275000,1.000000,2.430912
6.000000,18,proportional_fair,3.200000,3.289600,0.678400,2,2.200000,0.275000,1.000000,2.430912
7.000000,0,proportional_fair,12.000000,12.336000,6.011000,6,6.600000,0.825000,1.000000,6.484657
7.000000,1,proportional_fair,3.200000,3.289600,0.678400,3,3.300000,0.412500,1.000000,2.761146
7.000000,2,proportional_fair,3.200000,3.289600,0.678400,3,3.300000,0.412500,1.000000,2.761146
7.000000,3,proportional_fair,3.200000,3.289600,0.815900,2,2.200000,0.275000,1.000000,2.569306
7.000000,4,proportional_fair,3.200000,3.289600,0.815900,2,2.200000,0.275000,1.000000,2.569306
7.000000,5,proportional_fair,3.200000,3.289600,0.815900,2,2.200000,0.275000,1.000000,2.569306
7.000000,6,proportional_fair,3.200000,3.289600,0.815900,2,2.200000,0.275000,1.000000,2.569306
7.000000,7,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.470561
7.000000,8,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.470561
7.000000,9,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,10,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,11,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,12,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,13,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,14,proportional_fair,3.200000,3.289600,0.677100,2,2.200000,0.275000,1.000000,2.523784
7.000000,15,proportional_fair,3.200000,3.289600,0.677100,3,3.300000,0.412500,1.000000,2.604730
7.000000,16,proportional_fair,3.200000,3.289600,0.677100,3,3.300000,0.412500,1.000000,2.604730
7.000000,17,proportional_fair,3.200000,3.289600,0.677100,3,3.300000,0.412500,1.000000,2.604730
7.000000,18,proportional_fair,3.200000,3.289600,0.677100,3,3.300000,0.412500,1.000000,2.604730
8.000000,0,proportional_fair,12.000000,12.336000,6.728000,6,6.600000,0.825000,1.000000,6.507725
8.000000,1,proportional_fair,3.200000,3.289600,0.814600,2,2.200000,0.275000,1.000000,2.648917
